FID,FID_RWGE61,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,FID_RW_LHZ,COUNTRY,LZCODE,LZNAMEE,CLASS,LZNUM,LZNAMEF
61,88,RW201000000089,RW,"2,010.000000000000000",89.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,5.000000000000000,Gisagara,GPS,R,-2.474959000000000,29.838132000000002,"1,451.000000000000000","1,468.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
62,101,RW201000000102,RW,"2,010.000000000000000",102.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,7.000000000000000,Huye,GPS,R,-2.466248000000000,29.780193000000001,"1,615.000000000000000","1,594.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
63,396,RW201000000397,RW,"2,010.000000000000000",397.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.465316000000000,29.467918000000001,"2,183.000000000000000","2,190.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
64,470,RW201000000471,RW,"2,010.000000000000000",471.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,7.000000000000000,Huye,GPS,R,-2.461804000000000,29.641228999999999,"1,735.000000000000000","1,735.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
65,260,RW201000000261,RW,"2,010.000000000000000",261.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.455755000000000,29.429881000000002,"2,226.000000000000000","2,215.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
66,149,RW201000000150,RW,"2,010.000000000000000",150.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,U,-2.452764000000000,29.573640999999999,"1,848.000000000000000","1,832.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
67,375,RW201000000376,RW,"2,010.000000000000000",376.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,5.000000000000000,Gisagara,GPS,R,-2.450605000000000,29.957954999999998,"1,425.000000000000000","1,409.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
68,139,RW201000000140,RW,"2,010.000000000000000",140.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.449083000000000,29.398886000000001,"2,308.000000000000000","2,289.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
69,265,RW201000000266,RW,"2,010.000000000000000",266.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.444893000000000,29.584106999999999,"1,905.000000000000000","1,912.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
70,290,RW201000000291,RW,"2,010.000000000000000",291.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,17.000000000000000,Rusizi,GPS,R,-2.438728000000000,28.903891999999999,"1,601.000000000000000","1,603.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
71,181,RW201000000182,RW,"2,010.000000000000000",182.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,7.000000000000000,Huye,GPS,R,-2.434632000000000,29.787210999999999,"1,603.000000000000000","1,592.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
72,467,RW201000000468,RW,"2,010.000000000000000",468.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.433123000000000,29.547916000000001,"1,900.000000000000000","1,886.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
73,89,RW201000000090,RW,"2,010.000000000000000",90.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.428076000000000,29.462496999999999,"2,206.000000000000000","2,183.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
74,472,RW201000000473,RW,"2,010.000000000000000",473.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.425081000000000,29.842915999999999,"1,558.000000000000000","1,556.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
75,173,RW201000000174,RW,"2,010.000000000000000",174.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.416729000000000,29.532056999999998,"1,997.000000000000000","1,980.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
76,271,RW201000000272,RW,"2,010.000000000000000",272.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,17.000000000000000,Rusizi,GPS,R,-2.414607000000000,28.954867000000000,"1,575.000000000000000","1,574.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
77,323,RW201000000324,RW,"2,010.000000000000000",324.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,17.000000000000000,Rusizi,GPS,R,-2.404493000000000,28.941821999999998,"1,532.000000000000000","1,513.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
78,150,RW201000000151,RW,"2,010.000000000000000",151.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.400068000000000,28.995508999999998,"1,932.000000000000000","1,575.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
79,454,RW201000000455,RW,"2,010.000000000000000",455.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.390190000000000,28.981013000000001,"1,593.000000000000000","1,592.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
80,487,RW201000000488,RW,"2,010.000000000000000",488.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.389778000000000,29.451722000000000,"2,111.000000000000000","2,083.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
81,366,RW201000000367,RW,"2,010.000000000000000",367.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.388060000000000,29.258738999999998,"1,835.000000000000000","1,814.000000000000000",WGS84,6,RW,RW02,Western Congo-Nile Crest Tea,AG02,2,Zone du thé du ouest crête Congo-Nile
82,280,RW201000000281,RW,"2,010.000000000000000",281.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.387753000000000,29.141641000000000,"1,728.000000000000000","1,712.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
83,166,RW201000000167,RW,"2,010.000000000000000",167.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.387603000000000,29.067239000000001,"1,613.000000000000000","1,608.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
84,60,RW201000000061,RW,"2,010.000000000000000",61.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,30.000000000000000,Bugesera,GPS,R,-2.384913000000000,30.130896000000000,"1,442.000000000000000","1,440.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
85,327,RW201000000328,RW,"2,010.000000000000000",328.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.376306000000000,30.592224000000002,"1,644.000000000000000","1,647.000000000000000",WGS84,14,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
86,19,RW201000000020,RW,"2,010.000000000000000",20.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.372858000000000,29.704832000000000,"1,681.000000000000000","1,662.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
87,206,RW201000000207,RW,"2,010.000000000000000",207.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.371748000000000,29.585916000000001,"1,826.000000000000000","1,829.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
88,3,RW201000000004,RW,"2,010.000000000000000",4.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.366763000000000,30.521692000000002,"1,388.000000000000000","1,399.000000000000000",WGS84,14,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
89,424,RW201000000425,RW,"2,010.000000000000000",425.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.365815000000000,29.939349000000000,"1,466.000000000000000","1,460.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
90,212,RW201000000213,RW,"2,010.000000000000000",213.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,U,-2.360084000000000,29.751587000000001,"1,799.000000000000000","1,787.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
91,279,RW201000000280,RW,"2,010.000000000000000",280.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.357578000000000,29.034794000000002,"1,539.000000000000000","1,532.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
92,90,RW201000000091,RW,"2,010.000000000000000",91.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.357266000000000,29.802312000000001,"1,587.000000000000000","1,588.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
93,361,RW201000000362,RW,"2,010.000000000000000",362.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.356264000000000,29.396761000000001,"2,311.000000000000000","2,286.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
94,357,RW201000000358,RW,"2,010.000000000000000",358.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.353186000000000,29.828330999999999,"1,601.000000000000000","1,592.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
95,335,RW201000000336,RW,"2,010.000000000000000",336.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,U,-2.350536000000000,29.777253999999999,"1,773.000000000000000","1,779.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
96,308,RW201000000309,RW,"2,010.000000000000000",309.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,U,-2.350317000000000,29.680841999999998,"1,615.000000000000000","1,628.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
97,352,RW201000000353,RW,"2,010.000000000000000",353.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.345122000000000,29.637055000000000,"1,819.000000000000000","1,777.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
98,484,RW201000000485,RW,"2,010.000000000000000",485.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.343529000000000,30.699000000000002,"1,370.000000000000000","1,367.000000000000000",WGS84,16,RW,RW12,Eastern Semi-Arid Agropastoral,SH02,12,Zone semi-aride agropastorale de l’est
99,188,RW201000000189,RW,"2,010.000000000000000",189.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.338016000000000,29.123901000000000,"1,608.000000000000000","1,599.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
100,485,RW201000000486,RW,"2,010.000000000000000",486.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,30.000000000000000,Bugesera,GPS,R,-2.336048000000000,30.288211000000000,"1,423.000000000000000","1,425.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
101,310,RW201000000311,RW,"2,010.000000000000000",311.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.330726000000000,29.916747000000001,"1,408.000000000000000","1,403.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
102,346,RW201000000347,RW,"2,010.000000000000000",347.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.330626000000000,29.456503000000001,"2,081.000000000000000","2,075.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
103,197,RW201000000198,RW,"2,010.000000000000000",198.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.327561000000000,29.047353999999999,"1,639.000000000000000","1,641.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
104,80,RW201000000081,RW,"2,010.000000000000000",81.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.324280000000000,29.246870000000001,"1,933.000000000000000","1,934.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
105,294,RW201000000295,RW,"2,010.000000000000000",295.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.323776000000000,29.185490999999999,"1,770.000000000000000","1,778.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
106,202,RW201000000203,RW,"2,010.000000000000000",203.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.322370000000000,30.509813999999999,"1,446.000000000000000","1,447.000000000000000",WGS84,14,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
107,285,RW201000000286,RW,"2,010.000000000000000",286.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.316523000000000,30.576136000000002,"1,497.000000000000000","1,502.000000000000000",WGS84,14,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
108,477,RW201000000478,RW,"2,010.000000000000000",478.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,30.000000000000000,Bugesera,GPS,R,-2.312788000000000,30.080022000000000,"1,498.000000000000000","1,506.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
109,124,RW201000000125,RW,"2,010.000000000000000",125.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.305046000000000,30.628461999999999,"1,545.000000000000000","1,553.000000000000000",WGS84,14,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
110,157,RW201000000158,RW,"2,010.000000000000000",158.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,U,-2.298738000000000,29.741969999999998,"1,770.000000000000000","1,785.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
111,436,RW201000000437,RW,"2,010.000000000000000",437.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,30.000000000000000,Bugesera,GPS,R,-2.296489000000000,30.015236000000002,"1,481.000000000000000","1,486.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
112,295,RW201000000296,RW,"2,010.000000000000000",296.000000000000000,RW,RW14,Western,NULL,NULL,3.000000000000000,West,18.000000000000000,Nyamasheke,GPS,R,-2.291395000000000,29.163522000000000,"1,503.000000000000000","1,504.000000000000000",WGS84,5,RW,RW01,Lake Kivu Coffee,AS02,1,Zone cafetière du lac Kivu
113,225,RW201000000226,RW,"2,010.000000000000000",226.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,30.000000000000000,Bugesera,GPS,R,-2.287563000000000,30.117008999999999,"1,463.000000000000000","1,459.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
114,74,RW201000000075,RW,"2,010.000000000000000",75.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.281564000000000,29.671659999999999,"1,835.000000000000000","1,824.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
115,428,RW201000000429,RW,"2,010.000000000000000",429.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.280823000000000,29.698357000000001,"1,750.000000000000000","1,722.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
116,315,RW201000000316,RW,"2,010.000000000000000",316.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,8.000000000000000,Nyamagabe,GPS,R,-2.279316000000000,29.478822999999998,"1,751.000000000000000","1,785.000000000000000",WGS84,8,RW,RW04,Eastern Congo-Nile Highland Subsistence Farming,FS01,4,Haute terre de culture de base de la crête Congo-Nile
117,274,RW201000000275,RW,"2,010.000000000000000",275.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.278544000000000,29.619121000000000,"1,712.000000000000000","1,690.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
118,105,RW201000000106,RW,"2,010.000000000000000",106.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.276990000000000,29.801138000000002,"1,679.000000000000000","1,671.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
119,231,RW201000000232,RW,"2,010.000000000000000",232.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,30.000000000000000,Bugesera,GPS,R,-2.276934000000000,30.036967000000001,"1,405.000000000000000","1,415.000000000000000",WGS84,12,RW,RW08,Bugesera Cassava,AG05,8,Zone du manioc de Bugesera
120,64,RW201000000065,RW,"2,010.000000000000000",65.000000000000000,RW,RW11,Eastern,NULL,NULL,5.000000000000000,East,28.000000000000000,Kirehe,GPS,R,-2.275269000000000,30.632707000000000,"1,565.000000000000000","1,583.000000000000000",WGS84,14,RW,RW10,Southeastern Plateau Banana,AG08,10,Zone bananière du plateau du sud-est
121,21,RW201000000022,RW,"2,010.000000000000000",22.000000000000000,RW,RW15,Southern,NULL,NULL,2.000000000000000,South,4.000000000000000,Nyanza,GPS,R,-2.267461000000000,29.815543999999999,"1,586.000000000000000","1,604.000000000000000",WGS84,9,RW,RW05,Central Plateau Cassava and Coffee,AS06,5,Plateau central zone cafetière et du manioc
