"","stuntingZ_all_2015","stuntingZ_all_2015p","term","stuntingZ_all_2012","stuntingZ_all_2012p","stuntingZ_nogeo_2015","stuntingZ_nogeo_2015p","stuntingZ_nogeo_2012","stuntingZ_nogeo_2012p","stuntingZ_noMomData_2015","stuntingZ_noMomData_2015p","stuntingZ_noMomData_2012","stuntingZ_noMomData_2012p","stuntingZ_FCSgrps_2015","stuntingZ_FCSgrps_2015p","stuntingZ_plusAltitude_2012","stuntingZ_plusAltitude_2012p"
"1",0.628447233120434,8.34482985898606e-07,"(Intercept)",0.371891861147225,0.0010120900376312,0.500089710698718,2.23425613665885e-05,0.568515787452557,7.87098330877332e-09,0.617546894912825,8.96767011067695e-09,0.58070723335751,9.01089626394924e-12,0.634733834103725,2.41512591950304e-08,0.371715460751718,0.000982618506070356
"2",-0.996429515929287,2.95943860202035e-07,"splines::bs(age_months, degree = 3, knots = 24)1",-1.27203879276751,1.5822536670869e-10,-0.950291853683804,1.43585578420156e-06,-1.30115516717779,6.09342201553212e-11,-0.987585871420842,5.74384058677533e-08,-1.18654940448797,2.40511938629962e-10,-1.00121263721859,3.96892039911162e-08,-1.30537600589856,4.74132883347357e-11
"3",-0.316579842885537,0.0164354882624682,"splines::bs(age_months, degree = 3, knots = 24)2",-0.530364111798031,0.000272916037745897,-0.345934139451374,0.00975668837923328,-0.530420558766922,0.000272401101914496,-0.348667334814155,0.00303848272980905,-0.587872186960822,7.94020564082378e-06,-0.345346031754925,0.00335908511950218,-0.515586775451051,0.000387797594982931
"4",-0.346555584384277,0.00201042429987029,"splines::bs(age_months, degree = 3, knots = 24)3",-0.780701607292781,2.99119478353608e-08,-0.327987957904385,0.00392163821981274,-0.7986895293887,1.42163694231755e-08,-0.288366223850595,0.0049100935408804,-0.721351068898292,3.99844550724162e-08,-0.29402579902921,0.00418349151680248,-0.804615905501054,1.04106398547233e-08
"5",-0.186188232279886,1.53655718271374e-07,"sexMale",-0.108709210886976,0.000740253337423488,-0.17830989585957,7.09900961381485e-07,-0.104454398218301,0.00116419142996039,-0.191842798729081,2.33976056120786e-09,-0.110954985990902,0.000146239238816272,-0.19282718385943,2.02602783962925e-09,-0.110270989445208,0.000597628057700753
"6",0.00292532325979652,0.965259305917938,"rural_catUrban",0.107910318512445,0.157075491192815,0.0150136236398627,0.817353702135531,0.174989928581714,0.00876491439896247,0.0512340450741864,0.401646779261421,0.214119696905677,0.000289861673487899,0.052583849551566,0.389808284924815,0.10161179364737,0.181485946614174
"7",-0.10111583366465,0.00799351168372038,"kids_under52+ children < 5 years old in hh",NA,NA,-0.105002651375479,0.00644280128428782,NA,NA,-0.0973278520182508,0.00463383725084805,NA,NA,-0.0963330479752551,0.0051606905375804,NA,NA
"8",-0.0586200623188869,0.00327882059052305,"crowding",-0.0454466706824101,0.0122046300150348,-0.0440135245628575,0.02763528594293,-0.0363240743133918,0.0425157539602562,-0.0512467877268759,0.00427717166692693,-0.0302931520958233,0.0588955295087201,-0.0537265176216321,0.00283656966267586,-0.0461508637432787,0.0106946385365597
"9",-0.212108766880028,0.000258820122818205,"fem_head",NA,NA,-0.175274145470504,0.00267017828658413,NA,NA,-0.160384108779668,0.00145907421615177,NA,NA,-0.163768045338142,0.001190168186175,NA,NA
"10",-0.0436439395396284,0.735643749052569,"head_age",0.0379144431956517,0.726338018585079,0.0398995993309338,0.759631133813748,0.0391994234022195,0.717094887006665,-0.0385328305308966,0.69592541840403,0.240798495908465,0.00441614993703647,-0.0440201879014763,0.655869907223902,0.0234648682441403,0.828075900196322
"11",-0.0232738599821991,0.854418047073709,"head_age_sq",-0.00313737726889174,0.976348637307504,-0.0897046179400064,0.484007790090416,-0.00333384727007117,0.974828036062734,-0.000766361188516593,0.993793298755713,-0.204852495988512,0.0143488810985627,0.00346961858329621,0.971953742921845,0.00727491739002896,0.945041047645598
"12",0.0702036779841997,0.00449111114149974,"numWomen_18plus",0.0365322979295744,0.0864502817044743,0.0561248937928782,0.0247851196867251,0.0375787956088502,0.0770362890074125,0.0476463673332136,0.0178381022016798,0.0352932878220904,0.0417786305574937,0.049999427668143,0.013076039338465,0.0381227848772006,0.0727867625031933
"13",0.0165235741147701,0.772906204620976,"hh_occup_catMedium/high income agriculturalists",-0.00145580920406024,0.979681414518175,-0.0147955303499004,0.796542876546526,-0.0244008325747205,0.666056639673011,-0.0245895063099068,0.63199113982009,-0.0573033976315596,0.268610054401161,-0.00863057023823577,0.866783179120359,0.000810485748383726,0.988653686275801
"14",-0.150058387564484,0.0108115425064959,"hh_occup_catAgricultural daily labour",0.00807978984645359,0.861871890879334,-0.172772975020027,0.00357236772919178,0.023802733680845,0.60372046077529,-0.155060759979769,0.00348937005890949,-0.0338110192646039,0.420935723186061,-0.151579513712814,0.00490994934564366,0.0128789174437173,0.780937467446989
"15",0.0925782435936768,0.170667612977275,"hh_occup_catAgro-pastoralists",0.0506840166430299,0.384438311117263,0.077802045357124,0.254580054219568,0.0345227678955923,0.549774462897482,0.0343358191211228,0.566106315304652,-0.0288776742328901,0.574259733748072,0.0481525848139641,0.421387854970135,0.0538501408380117,0.354038240487937
"16",-0.0497370355567464,0.516045780395173,"hh_occup_catUnskilled",0.144996918607137,0.0526727618543759,-0.081593582326519,0.28794939875387,0.162846468002254,0.0291533543178339,-0.0550717349527818,0.428274014287423,0.109620533803778,0.100489296962716,-0.0501521686597753,0.471056803550354,0.153500128121919,0.0397185316384008
"17",-0.056006203516876,0.413610406636323,"hh_occup_catSkilled",0.124956941655079,0.0523947687898071,-0.0715163994890764,0.300208644506865,0.1274716959576,0.046551082740654,-0.0528890725431039,0.405211658140507,0.109732001025275,0.0558053516786472,-0.0291301862363734,0.644272591158547,0.130549527928765,0.0421172184339359
"18",0.0186407035651178,0.676234790880029,"impr_unshared_toilet",0.0717096040489621,0.0842514375122348,0.0113038014191109,0.800325396990926,0.0660890549287667,0.107317903307756,0.0228557950220688,0.563229414087859,0.0713572585514343,0.04273017265931,0.0198234396647645,0.616423778438042,0.0697528264095504,0.092104193748656
"19",0.0167388701844374,0.660371675282031,"impr_water_30min",0.0180185222713565,0.611515306357869,0.000285406443653456,0.993981034970073,-0.0299456739562615,0.376152610436563,0.0290784684317255,0.395764903444857,-0.00928778866016585,0.760706306840486,0.0325945436545867,0.341378729655033,0.00611512066809248,0.863108089833209
"20",-0.215596545779295,0.00012770572604987,"diarrhea",-0.0938548641467535,0.0349911627310136,-0.261967987268848,3.56007147650847e-06,-0.101593572724624,0.021928607062766,-0.229660115925451,6.33821412237146e-06,-0.114168471175924,0.00537416474389948,-0.225222602507349,9.86749245207367e-06,-0.09028865048788,0.0419339203345708
"21",0.130498121351066,1.9774848954782e-13,"birthwt",NA,NA,0.125871719077336,2.01598035870477e-12,NA,NA,0.133023916754063,3.21719955669962e-16,NA,NA,0.133654655593474,2.69757431528647e-16,NA,NA
"22",0.0713238248380327,0.0624845710351023,"health_less_60minhealth facility available in less than 60 min",NA,NA,0.080783234541254,0.0349157870347249,NA,NA,0.128848659334626,0.00021076721771218,NA,NA,0.131645578619622,0.000157127364569626,NA,NA
"23",0.0199757968826039,0.324124837029562,"TLU",0.0123081190673826,0.517041526923405,0.00693054227936581,0.735260233350197,0.01658050322264,0.381206646251734,0.0132074912310094,0.472433303101088,0.0184174449526983,0.299304989954843,0.0206153841864408,0.257070793783471,0.0156332158700295,0.409492830455166
"24",-0.0463264606514325,0.379079626115147,"land_size_cat0.00 - 0.19 ha",NA,NA,-0.11311418294099,0.0318167437709529,NA,NA,-0.0387650476590947,0.419517327510609,NA,NA,-0.0389672617269071,0.417531635254923,NA,NA
"25",-0.0553642350220762,0.317112291884425,"land_size_cat0.20 - 0.99 ha",-0.00923719466240154,0.822617615588602,-0.113581408242896,0.0399816236351356,-0.0119472318275947,0.77027375521242,-0.040641223966088,0.420285147609771,0.0272183698845095,0.461930046431501,-0.039676545671704,0.432180685377171,-0.00335223198741742,0.934996475734855
"26",-0.0881129148139659,0.227171426156431,"land_size_catmore than 1.00 ha",-0.00625116694022265,0.914506506144243,-0.178334081279725,0.0145842579909254,-0.00858024177886771,0.882333044882402,-0.0530092731221701,0.420073485734804,0.077634480876718,0.136964964388673,-0.0495011978551045,0.451940329156861,-0.00457155585244706,0.937235061524708
"27",-0.044646262009441,0.239725820686995,"hh_garden",0.00353500102309487,0.918562913500692,-0.0536669609552726,0.160456882291683,0.00776008982015235,0.819986407045808,-0.0202619542076093,0.554562589008213,-0.032049665465858,0.297070345083488,-0.0258635059829246,0.453642630535185,0.0130418735364511,0.705695648912013
"28",0.0509366802711247,0.292063112431722,"head_education_catsome_prim",0.0632487891632327,0.146211213528423,0.0335611794444121,0.493480598110013,0.0675649850581665,0.118730568709325,0.0374626820576681,0.3847876797936,0.0419907021420401,0.277959531863399,0.0372029913718046,0.388775824361517,0.0628897017277418,0.147297921188421
